Column1,주소,거리
147,경기도 의정부시 신흥로,31
683,서울특별시 광진구 광나루로56길,44
297,서울특별시 광진구 아차산로,46
40,서울특별시 노원구 공릉로,48
187,서울특별시 노원구 공릉로,48
95,서울특별시 광진구 천호대로,49
929,서울특별시 중랑구 신내역로3길,50
230,서울특별시 중구 남대문로9길,51
76,서울특별시 중구 남대문로,54
270,서울특별시 송파구 바람드리길,54
60,서울특별시 광진구 자양로,55
158,서울특별시 송파구 올림픽로,55
331,서울특별시 송파구 올림픽로,55
449,서울특별시 중구 수표동 ,55
12,서울특별시 광진구 광나루로36길,56
392,서울특별시 중구 명동길,56
352,서울특별시 중구 세종대로,57
677,서울특별시 종로구 경희궁길,57
702,서울특별시 종로구 삼봉로,57
149,서울특별시 동대문구 휘경로,58
315,서울특별시 강동구 천호대로,58
271,서울특별시 중구 한강대로,59
339,서울특별시 송파구 중대로,59
387,서울특별시 동대문구 천호대로,59
391,서울특별시 송파구 중대로,59
486,서울특별시 중구 퇴계로36나길,59
645,서울특별시 종로구 대학로,59
840,서울특별시 송파구 중대로,59
687,서울특별시 종로구 자하문로9길,60
33,서울특별시 성동구 광나루로8길,61
80,서울특별시 송파구 삼학사로,62
210,서울특별시 송파구 송파대로,62
234,서울특별시 중구 청계천로,62
252,서울특별시 송파구 송파대로,62
292,서울특별시 송파구 송파대로,62
329,서울특별시 송파구 위례성대로,62
408,서울특별시 송파구 송파대로,62
630,서울특별시 종로구 청계천로,62
661,서울특별시 성동구 왕십리로,62
685,서울특별시 성동구 왕십리로,62
689,서울특별시 성동구 왕십리로,62
711,서울특별시 종로구 청계천로,62
768,서울특별시 성동구 왕십리로,62
769,서울특별시 성동구 왕십리로,62
786,서울특별시 성동구 왕십리로,62
798,서울특별시 종로구 청계천로,62
829,서울특별시 성동구 왕십리로,62
843,서울특별시 성동구 아차산로,62
844,서울특별시 성동구 왕십리로,62
859,서울특별시 성동구 왕십리로,62
865,서울특별시 송파구 송파대로,62
875,서울특별시 성동구 왕십리로,62
892,서울특별시 성동구 왕십리로,62
900,서울특별시 중구 청계천로,62
913,서울특별시 종로구 청계천로,62
0,서울특별시 중구 퇴계로22길,63
6,서울특별시 성동구 성수이로22길,63
165,서울특별시 성동구 성수이로22길,63
257,서울특별시 성북구 안암로,63
272,서울특별시 성동구 연무장5가길,63
307,서울특별시 도봉구 우이천로39길,63
373,서울특별시 성동구 아차산로17길,63
393,서울특별시 성동구 아차산로17길,63
444,서울특별시 성동구 연무장5가길,63
448,서울특별시 성동구 아차산로17길,63
483,서울특별시 서대문구 충정로,63
